"Sunny","Hot","High","Weak","FALSE"
"Sunny","Hot","High","Strong","FALSE"
"Overcast","Hot","High","Weak","TRUE"
"Rain","Mild","High","Weak","TRUE"
"Rain","Cool","Normal","Weak","TRUE"
"Rain","Cool","Normal","Strong","FALSE"
"Overcast","Cool","Normal","Weak","TRUE"
"Sunny","Mild","High","Weak","FALSE"
"Sunny","Cool","Normal","Weak","TRUE"
"Rain","Mild","Normal","Strong","TRUE"
"Sunny","Mild","Normal","Strong","TRUE"
"Overcast","Mild","High","Strong","TRUE"
"Overcast","Hot","Normal","Weak","TRUE"
"Rain","Mild","High","Strong","FALSE"

